case_id,target_or_property_class,relevant_source_or_project,relationship_type,assurance_layer,similarity_or_overlap,important_difference,exact_target_property_match_status,permitted_conclusion,global_novelty_claim_permitted,review_scope,authoritative_thesis_home,thesis_reference_key,evidence_locator_id
11,mlk_poly_frombytes,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C11-UA
12,mlk_poly_tobytes <-> mlk_poly_frombytes (PBCODEC-CV1),Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C12-UA
14,mlk_montgomery_reduce; candidate mlk_fqmul and mlk_poly_tomont_c families,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C14-UA
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,HOL Light / s2n-bignum and documented mlkem-native low-level proofs,RELATED_LOW_LEVEL_ASSURANCE,Machine-checked selected assembly/object-level correctness,May cover arithmetic or conversion behaviour for optimized low-level implementations.,The thesis analyses pinned portable-C functions and locally selected CBMC properties; backend equivalence was not generally established.,NOT_ESTABLISHED_AS_EXACT_PORTABLE_C_PROPERTY_MATCH,"The results are complementary, not a replacement for or superiority claim over low-level proofs.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,HOL Light / s2n-bignum and documented mlkem-native low-level proofs,LOC-C06-UA
8,mlk_barrett_reduce,HOL Light / s2n-bignum and documented mlkem-native low-level proofs,RELATED_LOW_LEVEL_ASSURANCE,Machine-checked selected assembly/object-level correctness,May cover arithmetic or conversion behaviour for optimized low-level implementations.,The thesis analyses pinned portable-C functions and locally selected CBMC properties; backend equivalence was not generally established.,NOT_ESTABLISHED_AS_EXACT_PORTABLE_C_PROPERTY_MATCH,"The results are complementary, not a replacement for or superiority claim over low-level proofs.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,HOL Light / s2n-bignum and documented mlkem-native low-level proofs,LOC-C08-UA
14,mlk_montgomery_reduce; candidate mlk_fqmul and mlk_poly_tomont_c families,HOL Light / s2n-bignum and documented mlkem-native low-level proofs,RELATED_LOW_LEVEL_ASSURANCE,Machine-checked selected assembly/object-level correctness,May cover arithmetic or conversion behaviour for optimized low-level implementations.,The thesis analyses pinned portable-C functions and locally selected CBMC properties; backend equivalence was not generally established.,NOT_ESTABLISHED_AS_EXACT_PORTABLE_C_PROPERTY_MATCH,"The results are complementary, not a replacement for or superiority claim over low-level proofs.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,HOL Light / s2n-bignum and documented mlkem-native low-level proofs,LOC-C14-UA
4,mlk_poly_tomsg,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C04-UA
5,mlk_poly_frommsg,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C05-UA
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C06-UA
9,mlk_zeroize,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C09-UA
10,mlk_poly_tobytes,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C10-UA
11,mlk_poly_frombytes,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C11-UA
12,mlk_poly_tobytes <-> mlk_poly_frombytes (PBCODEC-CV1),"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",RELATED_VERIFIED_CRYPTOGRAPHIC_IMPLEMENTATION_CONTEXT,F*/Low* verified cryptographic implementation infrastructure,Demonstrates verified functional/memory/representation artefacts in other cryptographic codebases.,"Different implementations, languages, specifications and trusted toolchains.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,"Use only as broader high-assurance context, not an exact prior-art match.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,"HACL* and EverCrypt (Zinzindohoué et al., 2017; Protzenko et al., 2020)",LOC-C12-UA
